accx, accy, accz, magx, magy, magz, roll, pitch, yaw
-0.565409, -0.042639, 0.891271, -0.315700, 0.372120, -0.577640, -0.047804, 0.564803, -0.769004
-0.584319, 0.035258, 0.788486, -0.308980, 0.366940, -0.573300, 0.044686, 0.637280, -0.765307
-0.575596, 0.016775, 0.821060, -0.308980, 0.366940, -0.573300, 0.020428, 0.611326, -0.765307
-0.560041, 0.011407, 0.851011, -0.310660, 0.367080, -0.575680, 0.013403, 0.581999, -0.767792
-0.561810, 0.014274, 0.845643, -0.312620, 0.367780, -0.570780, 0.016878, 0.586337, -0.769955
-0.565470, 0.025132, 0.835029, -0.315560, 0.362600, -0.572460, 0.030088, 0.595040, -0.781595
-0.551074, 0.034709, 0.870470, -0.313880, 0.363580, -0.572880, 0.039853, 0.564027, -0.777617
-0.563945, 0.024949, 0.842349, -0.313880, 0.363580, -0.572880, 0.029610, 0.589753, -0.777617
-0.566019, 0.019764, 0.843508, -0.309820, 0.365680, -0.577080, 0.023426, 0.590890, -0.768341
-0.566507, 0.008235, 0.849242, -0.316120, 0.364840, -0.578340, 0.009697, 0.588263, -0.779424
-0.581513, 0.034099, 0.812886, -0.317800, 0.363580, -0.570780, 0.041923, 0.620550, -0.783762
-0.580293, 0.012932, 0.826794, -0.315700, 0.368760, -0.574000, 0.015640, 0.611915, -0.773482
-0.580171, 0.017202, 0.830393, -0.315700, 0.368760, -0.574000, 0.020713, 0.609732, -0.773482
-0.580415, 0.014762, 0.823744, -0.316540, 0.370440, -0.575680, 0.017919, 0.613735, -0.772549
-0.581757, 0.020130, 0.825208, -0.313180, 0.375200, -0.573720, 0.024389, 0.613922, -0.760995
-0.579439, 0.022631, 0.829173, -0.311500, 0.371560, -0.575400, 0.027287, 0.609756, -0.763146
-0.565287, 0.032452, 0.851987, -0.317660, 0.370020, -0.572320, 0.038071, 0.585468, -0.774855
-0.555832, 0.042273, 0.873703, -0.317660, 0.370020, -0.572320, 0.048346, 0.566069, -0.774855
-0.571753, 0.024644, 0.842288, -0.311920, 0.367360, -0.572740, 0.029250, 0.596163, -0.769413
-0.578158, 0.027633, 0.841068, -0.315840, 0.368620, -0.571060, 0.032843, 0.601974, -0.773888
-0.581940, 0.034221, 0.835334, -0.315280, 0.374080, -0.568400, 0.040944, 0.608085, -0.765758
-0.610000, 0.031049, 0.786595, -0.314300, 0.368060, -0.563220, 0.039452, 0.659242, -0.772225
-0.617015, 0.025193, 0.789706, -0.314300, 0.368060, -0.563220, 0.031891, 0.663001, -0.772225
-0.613111, 0.028853, 0.797514, -0.313180, 0.369600, -0.564760, 0.036163, 0.655095, -0.768403
-0.615002, 0.020496, 0.798368, -0.312480, 0.378420, -0.558740, 0.025667, 0.656223, -0.755695
-0.604937, 0.035746, 0.817461, -0.307580, 0.367500, -0.560700, 0.043700, 0.636626, -0.762320
-0.596214, 0.042090, 0.827770, -0.308000, 0.371700, -0.561540, 0.050804, 0.623586, -0.757403
-0.605913, 0.032208, 0.816058, -0.308000, 0.371700, -0.561540, 0.039447, 0.638303, -0.757403
-0.598227, 0.041846, 0.822402, -0.301140, 0.377020, -0.554260, 0.050839, 0.628274, -0.739420
-0.606828, 0.035075, 0.812276, -0.306320, 0.372540, -0.563080, 0.043154, 0.641177, -0.753610
-0.616527, 0.026596, 0.809409, -0.306180, 0.378560, -0.562800, 0.032847, 0.650687, -0.745535
-0.613416, 0.031415, 0.812276, -0.311500, 0.372960, -0.558040, 0.038656, 0.646450, -0.761295
-0.615856, 0.022448, 0.815265, -0.311500, 0.372960, -0.558040, 0.027528, 0.646770, -0.761295
